CustomerID,Frequency,Monetary,Total_Items,Unique_Products,Country,Avg_Transaction_Value,LastPurchaseDate,FirstPurchaseDate,Customer_Lifetime_Days,Recency,R_score,F_score,M_score,RFM_Score,Cluster
12347.0,7,2783.37,1701,93,ICELAND,397.62,2011-12-07,2010-12-07,365,4825,1,4,1,141,7
12348.0,3,90.2,140,6,FINLAND,30.07,2011-04-05,2010-12-16,109,5071,4,4,4,444,3
12349.0,1,939.75,511,57,ITALY,939.75,2011-11-21,2011-11-21,0,4841,2,4,2,242,5
12350.0,1,294.4,196,16,NORWAY,294.4,2011-02-02,2011-02-02,0,5132,4,4,3,443,3
12352.0,7,1130.94,500,49,NORWAY,161.56,2011-11-03,2011-02-16,260,4859,2,4,1,241,0
12353.0,1,29.3,14,2,BAHRAIN,29.3,2011-05-19,2011-05-19,0,5026,4,4,4,444,3
12354.0,1,642.13,355,39,SPAIN,642.13,2011-04-21,2011-04-21,0,5055,4,4,2,442,3
12355.0,1,179.4,72,8,BAHRAIN,179.4,2011-05-09,2011-05-09,0,5037,4,4,3,443,3
12356.0,2,491.06,386,25,PORTUGAL,245.53,2011-04-08,2011-01-18,80,5068,4,4,2,442,3
12357.0,1,1289.35,1077,67,SWITZERLAND,1289.35,2011-11-06,2011-11-06,0,4855,2,4,1,241,5
12358.0,2,92.82,70,5,AUSTRIA,46.41,2011-12-08,2011-07-12,149,4824,1,4,4,144,5
12359.0,4,3010.38,1392,156,CYPRUS,752.6,2011-10-13,2011-01-12,274,4880,3,4,1,341,0
12360.0,3,1793.36,1076,97,AUSTRIA,597.79,2011-10-18,2011-05-23,148,4875,3,4,1,341,0
12361.0,1,174.9,90,9,BELGIUM,174.9,2011-02-25,2011-02-25,0,5110,4,4,3,443,3
12362.0,10,3922.54,1952,170,BELGIUM,392.25,2011-12-06,2011-02-17,292,4826,1,4,1,141,7
12363.0,2,345.78,318,17,UNSPECIFIED,172.89,2011-08-22,2011-04-11,132,4932,3,4,3,343,5
12364.0,3,1106.28,1281,67,BELGIUM,368.76,2011-12-02,2011-08-19,104,4830,1,4,1,141,0
12365.0,1,307.94,172,20,CYPRUS,307.94,2011-02-21,2011-02-21,0,5114,4,4,3,443,3
12367.0,1,138.3,112,9,DENMARK,138.3,2011-12-05,2011-12-05,0,4826,1,4,4,144,5
12370.0,4,1923.98,1089,118,CYPRUS,481.0,2011-10-19,2010-12-14,309,4874,2,4,1,241,0
12371.0,1,1201.46,472,56,SWITZERLAND,1201.46,2011-10-11,2011-10-11,0,4882,3,4,1,341,5
12372.0,3,663.54,550,32,DENMARK,221.18,2011-09-29,2011-02-16,224,4894,3,4,2,342,5
12373.0,1,221.1,126,10,AUSTRIA,221.1,2011-02-01,2011-02-01,0,5134,4,4,3,443,3
12374.0,1,479.71,313,28,AUSTRIA,479.71,2011-11-14,2011-11-14,0,4848,2,4,2,242,5
12375.0,2,200.1,102,10,FINLAND,100.05,2011-11-29,2011-09-02,87,4833,1,4,3,143,5
12377.0,2,1157.52,834,63,SWITZERLAND,578.76,2011-01-28,2010-12-20,39,5138,4,4,1,441,3
12378.0,1,3188.62,1987,190,SWITZERLAND,3188.62,2011-08-02,2011-08-02,0,4952,3,4,1,341,0
